"sim_id","date","median_rt","ci_lower","ci_upper","method","reporting_rate","mean_si","std_si","R0_value","model_type","transition_type"
37,2,3.46244169661556,3.22356370222966,3.71283951868831,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,3,3.22805118529777,3.05062238433691,3.41222997581725,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,4,3.00139235687683,2.86771163739052,3.13916438367624,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,5,2.99451136321238,2.88815161441365,3.10345084436526,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,6,2.97961906548538,2.89492915310678,3.06594480973177,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,7,2.93177674952028,2.86471040861176,2.99988175064805,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,8,2.75699108398962,2.70489218244614,2.80975471481641,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,9,2.56325471338112,2.52244216805062,2.60450512829982,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,10,2.35140936152926,2.3190740694211,2.38404383756145,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,11,2.12837593954056,2.10240396051682,2.15456093907168,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,12,1.90477554150379,1.8835533083698,1.92615658828252,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,13,1.6888493045762,1.67116183810754,1.70666113499987,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,14,1.5057275944423,1.49056710089181,1.52099053901843,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,15,1.34165342446932,1.32835659212882,1.35503869625797,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,16,1.18813410385023,1.17625236650906,1.20009558749429,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,17,1.05005371444497,1.03921819556409,1.06096429134208,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,18,0.929064095061214,0.918972646941872,0.939229151865371,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,19,0.821945542155459,0.812368176297678,0.831597888415668,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,20,0.737929817603474,0.728612265265934,0.747326469176909,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,21,0.66061611358669,0.651430969168528,0.669887195043538,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,22,0.596721353967056,0.587505638970545,0.606032941760651,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,23,0.545783791199151,0.536370357546993,0.555306724756755,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,24,0.504560686200865,0.494802508360441,0.514446325059976,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,25,0.470163718973049,0.459930852128913,0.480547251015037,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,26,0.445768530217393,0.434876080728049,0.456841363451327,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,27,0.425454269818013,0.413767563970293,0.437358989754886,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,28,0.401858770757586,0.389342792284721,0.41464014880129,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,29,0.383431849198915,0.369907087235074,0.397282330785519,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,30,0.365094602429626,0.350444527726863,0.380147391972125,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,31,0.349468246672809,0.333509143890046,0.365928531568477,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,32,0.334633943084626,0.317198814397342,0.352696564042849,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,33,0.340437955483137,0.320746693404102,0.360919128203401,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,34,0.332753264492362,0.310978437013216,0.355521605902059,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,35,0.335106503881655,0.31066402465866,0.360798661895961,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
37,36,0.339967218940606,0.312431446427344,0.369075307104699,"Cori",0.7,3.27442374328328,2.59973011717696,5,"partial","exposed_to_infected"
