"sim_id","date","median_rt","upper","lower","mean_si","std_si","n_transmissions","method","R0_true","model_type","how_infected"
1,2,3.3813054203658,3.55296532222951,3.21526584173155,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,3,3.30134362143176,3.42808921543139,3.17776132251401,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,4,3.24807151635131,3.34295842029237,3.15499736068939,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,5,3.16509141345128,3.23616181332752,3.09506924708191,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,6,2.98476736625124,3.03754733155081,2.93260237038697,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,7,2.78229141579997,2.82190095326117,2.74305427671426,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,8,2.51245741150566,2.54230053539282,2.48284875165394,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,9,2.21741356787444,2.24024888602939,2.1947339563492,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,10,1.94509839878475,1.96308605639022,1.92722095829535,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,11,1.71312921227872,1.72779492023518,1.69854672950843,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,12,1.51085270290843,1.52318274728737,1.49858937928335,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,13,1.32847041332804,1.33911463606994,1.31788274578719,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,14,1.16800522410655,1.17744375626863,1.15861726753458,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,15,1.02237015187704,1.03093552892365,1.01385234954628,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,16,0.898776627046806,0.906758115492217,0.890842113187174,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,17,0.796120064668097,0.803753360841153,0.788535251468062,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,18,0.70661452719733,0.714065599461879,0.699215469366831,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,19,0.632328536930283,0.639760403293182,0.624954450255523,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,20,0.579136561294815,0.586751308352841,0.571587982889518,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,21,0.532704330043662,0.540614837248652,0.524871368549642,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,22,0.500296545125451,0.508680455957667,0.492005265166498,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,23,0.476106921411684,0.485117686725246,0.467208432937661,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,24,0.451848886256715,0.461570917793566,0.442264339451754,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,25,0.433789206785463,0.44439189793333,0.423356518277689,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,26,0.420205719575114,0.431869739336714,0.40875363195501,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,27,0.403280342076102,0.416091920135564,0.390734485711033,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,28,0.387455512965789,0.401584742282863,0.373661650904174,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,29,0.368979579991236,0.384553584915534,0.353831853558653,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,30,0.351982646664648,0.369236570758265,0.335274793100861,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,31,0.343230604337727,0.362637137950698,0.324529115458375,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,32,0.345182587006916,0.367401559588878,0.323878035494149,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,33,0.345554836060872,0.370935734653392,0.321359038046909,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
1,34,0.346552026998361,0.375558588482695,0.319078999403013,2.91320868213946,2.21993071786862,99745,"Cori",3,"partial","exposed_to_infected"
