"sim_num","mean_gi","sd_gi","median_gi","n_gi"
1,7.21668510509906,4.3682357680794,6,19886
2,7.17325730121509,4.33137914618271,6,18764
3,7.17574284170719,4.31008946226442,6,18510
4,7.27870648187836,4.39804275076235,6,20997
5,7.19945945945946,4.35250123095787,6,18500
6,7.09958584337349,4.26093497009331,6,15936
7,7.18898966462772,4.32046121618999,6,18964
8,7.17371537322901,4.30410958347476,6,18916
9,7.22269091705927,4.35700544978569,6,18254
10,7.03338442060372,4.1668221301554,6,15007
11,7.20156565918399,4.35853206701453,6,19289
12,7.18580263511697,4.32103556874316,6,18595
13,7.1541422684884,4.27154507826776,6,18444
14,7.36606853062549,4.46424317978543,6,21567
15,7.22658289028516,4.33245393048868,6,20690
16,7.20931925737168,4.29220856893809,6,19229
17,7.22149734308413,4.30852347365983,6,19007
18,7.27688592129564,4.33967000430534,6,21117
19,7.20580021482277,4.34745177602745,6,18620
20,7.17541304956595,4.28087599828465,6,17855
21,7.25749092794194,4.34661363104579,6,19290
22,7.106375,4.26526041259783,6,16000
23,7.23287811365148,4.33153372923447,6,19551
24,7.34027810073013,4.38325969393316,6,21503
25,7.18132626580531,4.31273667821372,6,18111
26,7.14376547377898,4.26605003419953,6,17772
27,7.15550124847261,4.23947030675627,6,18823
28,7.2804218121271,4.37511888329596,6,21621
29,7.19421642791995,4.29442085304671,6,18639
30,7.2569706473269,4.32855332714979,6,20407
31,7.16826695116169,4.3298808920394,6,16872
32,7.1328850792999,4.29793905035558,6,19483
33,7.07636526984534,4.2145569630288,6,15583
34,7.13925814751286,4.26043239955586,6,18656
35,7.20064109529501,4.28449078786879,6,18406
36,7.28728377746611,4.40689386148079,6,21390
37,7.18777989396201,4.30949630627732,6,19427
38,7.21094671384154,4.39128477926453,6,18654
39,7.31750815136844,4.38658760746441,6,20242
40,7.23101445975179,4.32812016437427,6,17566
41,7.29987861131343,4.34995526347543,6,20595
42,7.23721697405908,4.30985335728113,6,20007
43,7.28189357934955,4.34421593598369,6,21462
44,7.21152340692031,4.32497538598081,6,19161
45,7.25448671931084,4.33787827863003,6,19502
46,7.20711153378771,4.30233639140279,6,18927
47,7.22726118531309,4.34429864721537,6,19691
48,7.14597707703712,4.29523412553184,6,17537
49,7.19132442685139,4.31471792772483,6,18189
50,7.26374784441464,4.37319984176156,6,20876
51,7.13638910680265,4.26245988167297,6,17846
52,7.31276042943282,4.46438218875778,6,20399
53,7.31535750494858,4.37907832742958,6,20713
54,7.1787672735249,4.30689449693736,6,18236
55,7.31114879186096,4.35612384299554,6,21231
56,7.19606413994169,4.31435990119388,6,17836
57,7.12907363143473,4.25464950196391,6,17153
58,7.23296338554092,4.36149519591313,6,19282
59,7.10565137216618,4.22804280914151,6,18438
60,7.29542867981791,4.41024406698117,6,21088
61,7.18551746235181,4.32504126768733,6,18726
62,7.21592581689726,4.32061518107081,6,20382
63,7.25843237261223,4.39205019157557,6,20783
64,7.07947578603971,4.23380624866549,6,17779
65,7.18470382404399,4.32908509652482,6,20005
66,7.34930340219243,4.42558369354053,6,22897
67,7.18948839208942,4.30659681833818,6,18608
68,7.15996682333425,4.28507628715966,6,18085
69,7.29263167948045,4.34077727244173,6,20941
70,7.11198945981555,4.26177172633264,6,17457
71,7.16839149201727,4.30971942523868,6,19229
72,7.1169946332737,4.26073732502911,6,16770
73,7.20579664897492,4.33436906341386,6,19218
74,7.18248061208557,4.31719288813651,6,19213
75,7.08378659170079,4.21233954715248,6,16363
76,7.23753559409785,4.36345889955432,6,19315
77,7.2181146025878,4.30431025609168,6,17312
78,7.28731240217291,4.39465694699648,6,21722
79,7.27024482109228,4.40614939600384,6,20178
80,7.26019361915208,4.34097527849005,6,20969
81,7.195617231033,4.26561952266007,6,18664
82,7.16764236295902,4.26696989945722,6,18790
83,7.16976556184317,4.27735247927757,6,18555
84,7.19763903462749,4.29378214102523,6,19060
85,7.33598676266714,4.44354736819812,6,22361
86,7.22469554801358,4.33576095878585,6,20036
87,7.29624645551978,4.40986250180549,6,20807
88,7.11607556791841,4.2399659151122,6,17256
89,7.24252474742321,4.34565777940689,6,19598
90,7.18370911400445,4.28711618036928,6,18894
91,7.1813441785286,4.24433200930218,6,19179
92,7.08462657613967,4.21753050764144,6,16496
93,7.13546366579967,4.24461898831015,6,18839
94,7.20931895979155,4.30986954402309,6,19573
95,7.12623517786561,4.21261839545057,6,16192
96,7.26357943789136,4.34764060359989,6,20601
97,7.14808196995924,4.29082428324545,6,17909
98,7.17145495030685,4.29179375440425,6,18413
99,7.25796690307329,4.33616565871649,6,21150
100,7.2018077065384,4.32413511904686,6,18919
