"id","date","susceptible_to_susceptible","susceptible_to_exposed","exposed_to_exposed","exposed_to_infected","infected_to_infected","infected_to_recovered","recovered_to_recovered"
1,0,99900,100,0,0,0,0,0
1,1,99900,0,69,31,0,0,0
1,2,99895,5,55,14,26,5,0
1,3,99883,12,40,20,38,2,5
1,4,99869,14,35,17,48,10,7
1,5,99859,10,34,15,54,11,17
1,6,99843,16,37,7,60,9,28
1,7,99833,10,43,10,58,9,37
1,8,99812,21,39,14,59,9,46
1,9,99798,14,49,11,68,5,55
1,10,99776,22,55,8,68,11,60
1,11,99759,17,59,18,61,15,71
1,12,99743,16,59,17,69,10,86
1,13,99725,18,54,21,78,8,96
1,14,99694,31,55,17,90,9,104
1,15,99657,37,70,16,95,12,113
1,16,99637,20,75,32,94,17,125
1,17,99615,22,66,29,111,15,142
1,18,99576,39,69,19,122,18,157
1,19,99550,26,86,22,119,22,175
1,20,99518,32,85,27,121,20,197
1,21,99492,26,91,26,122,26,217
1,22,99465,27,94,23,125,23,243
1,23,99442,23,91,30,126,22,266
1,24,99414,28,92,22,132,24,288
1,25,99381,33,90,30,137,17,312
1,26,99339,42,96,27,142,25,329
1,27,99310,29,105,33,153,16,354
1,28,99283,27,100,34,162,24,370
1,29,99245,38,90,37,174,22,394
1,30,99211,34,96,32,177,34,416
1,31,99169,42,103,27,172,37,450
1,32,99126,43,122,23,171,28,487
1,33,99088,38,114,51,161,33,515
1,34,99053,35,118,34,176,36,548
1,35,99008,45,108,45,182,28,584
1,36,98959,49,110,43,200,27,612
1,37,98903,56,106,53,193,50,639
1,38,98853,50,121,41,214,32,689
1,39,98804,49,122,49,221,34,721
1,40,98741,63,130,41,235,35,755
1,41,98686,55,137,56,235,41,790
1,42,98631,55,144,48,258,33,831
1,43,98566,65,151,48,260,46,864
1,44,98503,63,167,49,268,40,910
1,45,98430,73,165,65,272,45,950
1,46,98359,71,177,61,293,44,995
1,47,98282,77,179,69,303,51,1039
1,48,98209,73,183,73,304,68,1090
1,49,98133,76,192,64,330,47,1158
1,50,98048,85,184,84,339,55,1205
1,51,97963,85,200,69,373,50,1260
1,52,97890,73,207,78,377,65,1310
1,53,97800,90,213,67,392,63,1375
1,54,97697,103,221,82,403,56,1438
1,55,97603,94,246,78,426,59,1494
1,56,97496,107,245,95,430,74,1553
1,57,97391,105,261,91,461,64,1627
1,58,97269,122,272,94,488,64,1691
1,59,97146,123,294,100,495,87,1755
1,60,97019,127,314,103,511,84,1842
1,61,96883,136,315,126,517,97,1926
1,62,96751,132,341,110,547,96,2023
1,63,96618,133,351,122,545,112,2119
1,64,96496,122,377,107,570,97,2231
1,65,96336,160,388,111,590,87,2328
1,66,96177,159,414,134,603,98,2415
1,67,96014,163,432,141,628,109,2513
1,68,95875,139,463,132,648,121,2622
1,69,95679,196,465,137,662,118,2743
1,70,95508,171,501,160,667,132,2861
1,71,95327,181,517,155,689,138,2993
1,72,95148,179,532,166,741,103,3131
1,73,94953,195,519,192,780,127,3234
1,74,94777,176,555,159,824,148,3361
1,75,94581,196,562,169,841,142,3509
1,76,94381,200,577,181,882,128,3651
1,77,94144,237,593,184,915,148,3779
1,78,93943,201,633,197,933,166,3927
1,79,93720,223,644,190,991,139,4093
1,80,93495,225,646,221,1022,159,4232
1,81,93255,240,642,229,1057,186,4391
1,82,93020,235,669,213,1072,214,4577
1,83,92755,265,673,231,1074,211,4791
1,84,92463,292,696,242,1119,186,5002
1,85,92176,287,743,245,1156,205,5188
1,86,91924,252,753,277,1224,177,5393
1,87,91649,275,733,272,1293,208,5570
1,88,91364,285,730,278,1344,221,5778
1,89,91046,318,785,230,1386,236,5999
1,90,90716,330,817,286,1386,230,6235
1,91,90382,334,874,273,1451,221,6465
1,92,90062,320,898,310,1498,226,6686
1,93,89719,343,920,298,1555,253,6912
1,94,89365,354,945,318,1583,270,7165
1,95,89006,359,979,320,1621,280,7435
1,96,88656,350,994,344,1672,269,7715
1,97,88304,352,1001,343,1750,266,7984
1,98,87921,383,997,356,1783,310,8250
1,99,87524,397,1017,363,1832,307,8560
1,100,87124,400,1068,346,1901,294,8867
1,101,86719,405,1099,369,1933,314,9161
1,102,86308,411,1153,351,1985,317,9475
1,103,85899,409,1181,383,2007,329,9792
1,104,85466,433,1195,395,2059,331,10121
1,105,85052,414,1202,426,2112,342,10452
1,106,84610,442,1219,397,2184,354,10794
1,107,84133,477,1230,431,2199,382,11148
1,108,83702,431,1263,444,2275,355,11530
1,109,83222,480,1272,422,2358,361,11885
1,110,82730,492,1329,423,2367,413,12246
1,111,82224,506,1381,440,2392,398,12659
1,112,81735,489,1399,488,2425,407,13057
1,113,81221,514,1423,465,2501,412,13464
1,114,80716,505,1433,504,2558,408,13876
1,115,80188,528,1460,478,2638,424,14284
1,116,79685,503,1500,488,2723,393,14708
1,117,79164,521,1502,501,2750,461,15101
1,118,78571,593,1469,554,2761,490,15562
1,119,77983,588,1549,513,2845,470,16052
1,120,77421,562,1629,508,2868,490,16522
1,121,76851,570,1618,573,2899,477,17012
1,122,76263,588,1624,564,3002,470,17489
1,123,75663,600,1635,577,3031,535,17959
1,124,75031,632,1645,590,3100,508,18494
1,125,74411,620,1732,545,3131,559,19002
1,126,73784,627,1762,590,3110,566,19561
1,127,73217,567,1800,589,3195,505,20127
1,128,72591,626,1784,583,3237,547,20632
1,129,72058,533,1813,597,3264,556,21179
1,130,71514,544,1758,588,3287,574,21735
1,131,70917,597,1714,588,3349,526,22309
1,132,70327,590,1725,586,3391,546,22835
1,133,69715,612,1733,582,3452,525,23381
1,134,69083,632,1758,587,3434,600,23906
1,135,68508,575,1813,577,3443,578,24506
1,136,67920,588,1769,619,3461,559,25084
1,137,67325,595,1748,609,3520,560,25643
1,138,66777,548,1729,614,3541,588,26203
1,139,66179,598,1702,575,3555,600,26791
1,140,65615,564,1711,589,3534,596,27391
1,141,65065,550,1713,562,3534,589,27987
1,142,64490,575,1699,564,3483,613,28576
1,143,63897,593,1723,551,3455,592,29189
1,144,63338,559,1768,548,3422,584,29781
1,145,62807,531,1743,584,3396,574,30365
1,146,62262,545,1723,551,3419,561,30939
1,147,61744,518,1675,593,3396,574,31500
1,148,61235,509,1661,532,3410,579,32074
1,149,60704,531,1621,549,3371,571,32653
1,150,60204,500,1594,558,3348,572,33224
2,0,99900,100,0,0,0,0,0
2,1,99900,0,71,29,0,0,0
2,2,99894,6,52,19,26,3,0
2,3,99886,8,40,18,37,8,3
2,4,99872,14,39,9,49,6,11
2,5,99854,18,42,11,51,7,17
2,6,99842,12,50,10,47,15,24
2,7,99823,19,48,14,46,11,39
2,8,99811,12,54,13,50,10,50
2,9,99798,13,47,19,55,8,60
2,10,99776,22,47,13,59,15,68
2,11,99754,22,55,14,66,6,83
2,12,99734,20,55,22,64,16,89
2,13,99717,17,58,17,78,8,105
2,14,99693,24,54,21,83,12,113
2,15,99670,23,64,14,85,19,125
2,16,99653,17,61,26,82,17,144
2,17,99635,18,60,18,93,15,161
2,18,99620,15,54,24,90,21,176
2,19,99607,13,50,19,88,26,197
2,20,99584,23,40,23,97,10,223
2,21,99556,28,56,7,98,22,233
2,22,99534,22,65,19,91,14,255
2,23,99506,28,65,22,95,15,269
2,24,99488,18,71,22,103,14,284
2,25,99460,28,63,26,102,23,298
2,26,99422,38,68,23,109,19,321
2,27,99396,26,85,21,117,15,340
2,28,99362,34,81,30,120,18,355
2,29,99328,34,92,23,127,23,373
2,30,99291,37,96,30,133,17,396
2,31,99250,41,114,19,142,21,413
2,32,99223,27,114,41,137,24,434
2,33,99188,35,110,31,151,27,458
2,34,99139,49,109,36,160,22,485
2,35,99099,40,119,39,173,23,507
2,36,99059,40,107,52,182,30,530
2,37,99020,39,109,38,197,37,560
2,38,98981,39,114,34,199,36,597
2,39,98940,41,111,42,197,36,633
2,40,98891,49,115,37,200,39,669
2,41,98846,45,122,42,206,31,708
2,42,98801,45,128,39,216,32,739
2,43,98765,36,127,46,220,35,771
2,44,98713,52,137,26,222,44,806
2,45,98670,43,143,46,215,33,850
2,46,98614,56,145,41,224,37,883
2,47,98560,54,152,49,226,39,920
2,48,98510,50,159,47,239,36,959
2,49,98438,72,159,50,235,51,995
2,50,98383,55,168,63,246,39,1046
2,51,98321,62,157,66,272,37,1085
2,52,98253,68,164,55,287,51,1122
2,53,98169,84,176,56,291,51,1173
2,54,98088,81,199,61,297,50,1224
2,55,97993,95,212,68,310,48,1274
2,56,97898,95,219,88,313,65,1322
2,57,97804,94,229,85,342,59,1387
2,58,97715,89,240,83,353,74,1446
2,59,97626,89,259,70,371,65,1520
2,60,97534,92,267,81,384,57,1585
2,61,97450,84,273,86,404,61,1642
2,62,97352,98,285,72,425,65,1703
2,63,97244,108,291,92,421,76,1768
2,64,97139,105,311,88,438,75,1844
2,65,97039,100,319,97,457,69,1919
2,66,96913,126,340,79,477,77,1988
2,67,96801,112,359,107,471,85,2065
2,68,96703,98,357,114,482,96,2150
2,69,96559,144,341,114,517,79,2246
2,70,96406,153,366,119,548,83,2325
2,71,96256,150,402,117,575,92,2408
2,72,96108,148,425,127,605,87,2500
2,73,95967,141,427,146,625,107,2587
2,74,95805,162,417,151,668,103,2694
2,75,95641,164,435,144,701,118,2797
2,76,95468,173,451,148,734,111,2915
2,77,95293,175,461,163,745,137,3026
2,78,95105,188,482,154,788,120,3163
2,79,94931,174,503,167,819,123,3283
2,80,94736,195,496,181,856,130,3406
2,81,94522,214,504,187,898,139,3536
2,82,94314,208,540,178,952,133,3675
2,83,94095,219,569,179,955,175,3808
2,84,93870,225,571,217,969,165,3983
2,85,93625,245,589,207,1031,155,4148
2,86,93392,233,643,191,1057,181,4303
2,87,93146,246,664,212,1066,182,4484
2,88,92911,235,681,229,1101,177,4666
2,89,92638,273,679,237,1124,206,4843
2,90,92374,264,701,251,1173,188,5049
2,91,92107,267,736,229,1238,186,5237
2,92,91810,297,737,266,1271,196,5423
2,93,91516,294,749,285,1315,222,5619
2,94,91249,267,787,256,1345,255,5841
2,95,90930,319,802,252,1337,264,6096
2,96,90619,311,831,290,1362,227,6360
2,97,90268,351,891,251,1434,218,6587
2,98,89926,342,920,322,1458,227,6805
2,99,89560,366,945,317,1528,252,7032
2,100,89199,361,953,358,1582,263,7284
2,101,88818,381,982,332,1644,296,7547
2,102,88442,376,1027,336,1712,264,7843
2,103,88016,426,1047,356,1759,289,8107
2,104,87633,383,1100,373,1783,332,8396
2,105,87217,416,1078,405,1851,305,8728
2,106,86793,424,1108,386,1932,324,9033
2,107,86359,434,1148,384,1982,336,9357
2,108,85906,453,1175,407,2010,356,9693
2,109,85447,459,1225,403,2095,322,10049
2,110,84984,463,1266,418,2154,344,10371
2,111,84478,506,1319,410,2172,400,10715
2,112,83963,515,1359,466,2243,339,11115
2,113,83462,501,1388,486,2309,400,11454
2,114,82973,489,1414,475,2410,385,11854
2,115,82449,524,1452,451,2479,406,12239
2,116,81943,506,1485,491,2485,445,12645
2,117,81436,507,1507,484,2542,434,13090
2,118,80874,562,1527,487,2616,410,13524
2,119,80352,522,1549,540,2660,443,13934
2,120,79810,542,1546,525,2755,445,14377
2,121,79252,558,1570,518,2779,501,14822
2,122,78739,513,1595,533,2878,419,15323
2,123,78180,559,1559,549,2933,478,15742
2,124,77561,619,1592,526,3021,461,16220
2,125,76959,602,1649,562,3059,488,16681
2,126,76395,564,1668,583,3112,509,17169
2,127,75771,624,1683,549,3127,568,17678
2,128,75165,606,1738,569,3138,538,18246
2,129,74540,625,1766,578,3128,579,18784
2,130,73963,577,1767,624,3177,529,19363
2,131,73356,607,1765,579,3254,547,19892
2,132,72789,567,1754,618,3304,529,20439
2,133,72235,554,1728,593,3394,528,20968
2,134,71641,594,1699,583,3444,543,21496
2,135,71001,640,1728,565,3435,592,22039
2,136,70400,601,1775,593,3418,582,22631
2,137,69763,637,1775,601,3454,557,23213
2,138,69134,629,1819,593,3497,558,23770
2,139,68532,602,1833,615,3511,579,24328
2,140,67951,581,1841,594,3522,604,24907
2,141,67353,598,1850,572,3547,569,25511
2,142,66739,614,1844,604,3524,595,26080
2,143,66194,545,1858,600,3503,625,26675
2,144,65616,578,1842,561,3510,593,27300
2,145,65029,587,1818,602,3481,590,27893
2,146,64473,556,1799,606,3432,651,28483
2,147,63930,543,1787,568,3469,569,29134
2,148,63430,500,1735,595,3444,593,29703
2,149,62893,537,1632,603,3448,591,30296
2,150,62338,555,1633,536,3474,577,30887
3,0,99900,100,0,0,0,0,0
3,1,99900,0,79,21,0,0,0
3,2,99896,4,56,23,16,5,0
3,3,99888,8,48,12,36,3,5
3,4,99881,7,42,14,42,6,8
3,5,99870,11,32,17,51,5,14
3,6,99858,12,34,9,59,9,19
3,7,99842,16,38,8,57,11,28
3,8,99821,21,44,10,57,8,39
3,9,99809,12,48,17,56,11,47
3,10,99800,9,38,22,66,7,58
3,11,99780,20,38,9,72,16,65
3,12,99752,28,43,15,70,11,81
3,13,99730,22,56,15,72,13,92
3,14,99715,15,60,18,70,17,105
3,15,99705,10,61,14,74,14,122
3,16,99684,21,51,20,80,8,136
3,17,99662,22,52,20,85,15,144
3,18,99638,24,53,21,88,17,159
3,19,99618,20,59,18,94,15,176
3,20,99600,18,61,18,95,17,191
3,21,99579,21,59,20,97,16,208
3,22,99559,20,66,14,99,18,224
3,23,99535,24,66,20,99,14,242
3,24,99513,22,66,24,100,19,256
3,25,99476,37,65,23,105,19,275
3,26,99452,24,72,30,104,24,294
3,27,99417,35,71,25,119,15,318
3,28,99382,35,73,33,127,17,333
3,29,99348,34,90,18,143,17,350
3,30,99318,30,98,26,138,23,367
3,31,99279,39,97,31,137,27,390
3,32,99248,31,95,41,142,26,417
3,33,99197,51,98,28,160,23,443
3,34,99160,37,117,32,169,19,466
3,35,99119,41,108,46,180,21,485
3,36,99075,44,112,37,198,28,506
3,37,99026,49,120,36,191,44,534
3,38,98983,43,132,37,193,34,578
3,39,98949,34,134,41,195,35,612
3,40,98910,39,123,45,197,39,647
3,41,98858,52,123,39,207,35,686
3,42,98813,45,127,48,214,32,721
3,43,98761,52,132,40,217,45,753
3,44,98710,51,140,44,216,41,798
3,45,98647,63,144,47,218,42,839
3,46,98584,63,150,57,226,39,881
3,47,98508,76,153,60,239,44,920
3,48,98449,59,178,51,254,45,964
3,49,98396,53,179,58,256,49,1009
3,50,98332,64,173,59,259,55,1058
3,51,98261,71,184,53,264,54,1113
3,52,98194,67,197,58,268,49,1167
3,53,98117,77,208,56,274,52,1216
3,54,98046,71,211,74,273,57,1268
3,55,97976,70,205,77,303,44,1325
3,56,97887,89,215,60,308,72,1369
3,57,97812,75,222,82,317,51,1441
3,58,97733,79,226,71,346,53,1492
3,59,97643,90,238,67,355,62,1545
3,60,97546,97,249,79,363,59,1607
3,61,97477,69,252,94,378,64,1666
3,62,97387,90,238,83,419,53,1730
3,63,97277,110,239,89,440,62,1783
3,64,97153,124,266,83,463,66,1845
3,65,97028,125,276,114,466,80,1911
3,66,96886,142,302,99,504,76,1991
3,67,96755,131,328,116,513,90,2067
3,68,96618,137,339,120,538,91,2157
3,69,96494,124,356,120,578,80,2248
3,70,96362,132,364,116,596,102,2328
3,71,96208,154,373,123,623,89,2430
3,72,96039,169,404,123,635,111,2519
3,73,95883,156,439,134,650,108,2630
3,74,95748,135,442,153,677,107,2738
3,75,95590,158,419,158,720,110,2845
3,76,95420,170,429,148,754,124,2955
3,77,95249,171,431,168,780,122,3079
3,78,95072,177,424,178,818,130,3201
3,79,94845,227,449,152,852,144,3331
3,80,94666,179,508,168,869,135,3475
3,81,94453,213,511,176,885,152,3610
3,82,94233,220,547,177,897,164,3762
3,83,94040,193,569,198,905,169,3926
3,84,93819,221,558,204,965,138,4095
3,85,93560,259,581,198,997,172,4233
3,86,93327,233,649,191,1025,170,4405
3,87,93070,257,651,231,1029,187,4575
3,88,92794,276,701,207,1076,184,4762
3,89,92536,258,745,232,1101,182,4946
3,90,92273,263,760,243,1151,182,5128
3,91,92016,257,763,260,1211,183,5310
3,92,91717,299,775,245,1266,205,5493
3,93,91415,302,803,271,1277,234,5698
3,94,91114,301,831,274,1306,242,5932
3,95,90797,317,828,304,1367,213,6174
3,96,90483,314,851,294,1441,230,6387
3,97,90181,302,862,303,1491,244,6617
3,98,89812,369,862,302,1549,245,6861
3,99,89435,377,920,311,1587,264,7106
3,100,89084,351,950,347,1655,243,7370
3,101,88702,382,952,349,1705,297,7613
3,102,88292,410,1022,312,1751,303,7910
3,103,87913,379,1078,354,1745,318,8213
3,104,87530,383,1095,362,1818,281,8531
3,105,87097,433,1109,369,1874,306,8812
3,106,86671,426,1183,359,1930,313,9118
3,107,86251,420,1209,400,1964,325,9431
3,108,85797,454,1238,391,2026,338,9756
3,109,85352,445,1263,429,2070,347,10094
3,110,84929,423,1249,459,2155,344,10441
3,111,84392,537,1283,389,2222,392,10785
3,112,83926,466,1293,527,2237,374,11177
3,113,83436,490,1310,449,2374,390,11551
3,114,82959,477,1367,433,2409,414,11941
3,115,82454,505,1360,484,2453,389,12355
3,116,81871,583,1396,469,2510,427,12744
3,117,81353,518,1480,499,2583,396,13171
3,118,80848,505,1513,485,2642,440,13567
3,119,80323,525,1541,477,2689,438,14007
3,120,79754,569,1552,514,2714,452,14445
3,121,79232,522,1609,512,2785,443,14897
3,122,78671,561,1624,507,2804,493,15340
3,123,78146,525,1667,518,2825,486,15833
3,124,77571,575,1627,565,2831,512,16319
