"source_exposure_date","mean_rt","ci_lower","ci_upper","n"
0,1.9798,1.58475,2.45525,100
2,1.93274780774781,0.5475,3.905,100
3,1.92294074050305,0.663419117647059,3.14226973684211,100
4,1.94413822269398,1.04318181818182,3.41136363636364,100
5,1.96977044132333,0.9625,3.17393162393162,100
6,1.97668440259087,0.835625,3.21845238095238,100
7,2.00836780947058,1.19386446886447,2.96041666666667,100
8,1.98941858130927,1.10710227272727,2.93056818181818,100
9,2.06912171524063,1.05841346153846,3.05761904761905,100
10,1.9416602349057,1.04361904761905,3.09201388888889,100
11,1.95669610173417,1.20279411764706,2.80973731884058,100
12,1.89099969592225,1.29586038961039,2.62639794967381,100
13,1.99316495519027,1.21875,2.83969265367316,100
14,2.04571302782195,1.361986863711,2.84801136363636,100
15,2.02429661298449,1.33627450980392,2.70502636783124,100
16,1.96180732789309,1.3453029375765,2.65875,100
17,2.00615169153539,1.38274456521739,2.7211038961039,100
18,2.00687478334307,1.42007575757576,2.76270161290323,100
19,1.96652603636903,1.38090909090909,2.75,100
20,2.01935231258713,1.48670731707317,2.75491803278689,100
21,1.99523631085811,1.44184782608696,2.68260007212405,100
22,1.93543071099606,1.34020212765957,2.49683333333333,100
23,1.95964419482678,1.38117118537201,2.48678929765886,100
24,2.0043229573895,1.46704861111111,2.70005681818182,100
25,1.94606789378254,1.56447196870926,2.4656881533101,100
26,1.94932450045998,1.55829796640141,2.38827067669173,100
27,1.9140989922452,1.48338607594937,2.38246753246753,100
28,1.89357873692482,1.45422535211268,2.28954545454545,100
29,1.94210533184233,1.55138829100301,2.38710425937699,100
30,1.93002563623459,1.44972321428571,2.38634615384615,100
31,1.87782438768301,1.50348272908935,2.26326965365585,100
32,1.92671128155638,1.60426700111483,2.30859684773989,100
33,1.89217506277167,1.56146915584416,2.16921082949309,100
34,1.91233891112262,1.59695217391304,2.28248299319728,100
35,1.91150676969329,1.61167755324216,2.25555179692574,100
36,1.857732361917,1.51286277824739,2.14812768569675,100
37,1.86135715976686,1.56028133949492,2.14433408295852,100
