"id","date","susceptible_to_susceptible","susceptible_to_exposed","exposed_to_exposed","exposed_to_infected","infected_to_infected","infected_to_recovered","recovered_to_recovered"
1,0,99900,100,0,0,0,0,0
1,1,99900,0,69,31,0,0,0
1,2,99894,6,55,14,26,5,0
1,3,99881,13,41,20,38,2,5
1,4,99861,20,36,18,48,10,7
1,5,99844,17,36,20,58,8,17
1,6,99815,29,42,11,67,11,25
1,7,99798,17,46,25,67,11,36
1,8,99766,32,50,13,78,14,47
1,9,99740,26,63,19,83,8,61
1,10,99708,32,66,23,86,16,69
1,11,99677,31,66,32,94,15,85
1,12,99641,36,81,16,107,19,100
1,13,99611,30,92,25,103,20,119
1,14,99564,47,93,29,114,14,139
1,15,99515,49,99,41,125,18,153
1,16,99474,41,106,42,145,21,171
1,17,99435,39,108,39,165,22,192
1,18,99377,58,111,36,182,22,214
1,19,99324,53,127,42,188,30,236
1,20,99244,80,142,38,202,28,266
1,21,99173,71,162,60,212,28,294
1,22,99103,70,173,60,228,44,322
1,23,99019,84,174,69,241,47,366
1,24,98943,76,192,66,256,54,413
1,25,98853,90,211,57,278,44,467
1,26,98768,85,205,96,290,45,511
1,27,98683,85,203,87,332,54,556
1,28,98555,128,227,61,366,53,610
1,29,98454,101,272,83,371,56,663
1,30,98322,132,280,93,387,67,719
1,31,98198,124,308,104,412,68,786
1,32,98058,140,339,93,449,67,854
1,33,97915,143,374,105,465,77,921
1,34,97753,162,382,135,470,100,998
1,35,97568,185,404,140,521,84,1098
1,36,97383,185,462,127,577,84,1182
1,37,97213,170,481,166,601,103,1266
1,38,96969,244,487,164,667,100,1369
1,39,96751,218,544,187,729,102,1469
1,40,96507,244,561,201,787,129,1571
1,41,96274,233,614,191,860,128,1700
1,42,95977,297,629,218,905,146,1828
1,43,95677,300,705,221,966,157,1974
1,44,95358,319,758,247,1014,173,2131
1,45,94997,361,799,278,1097,164,2304
1,46,94630,367,853,307,1141,234,2468
1,47,94253,377,904,316,1257,191,2702
1,48,93842,411,946,335,1352,221,2893
1,49,93379,463,1018,339,1467,220,3114
1,50,92863,516,1124,357,1528,278,3334
1,51,92388,475,1196,444,1611,274,3612
1,52,91854,534,1263,408,1741,314,3886
1,53,91298,556,1323,474,1832,317,4200
1,54,90673,625,1426,453,1962,344,4517
1,55,90076,597,1522,529,2084,331,4861
1,56,89437,639,1547,572,2224,389,5192
1,57,88746,691,1616,570,2410,386,5581
1,58,87971,775,1741,566,2559,421,5967
1,59,87186,785,1887,629,2676,449,6388
1,60,86370,816,2017,655,2815,490,6837
1,61,85521,849,2095,738,2961,509,7327
1,62,84652,869,2200,744,3174,525,7836
1,63,83762,890,2372,697,3359,559,8361
1,64,82746,1016,2420,842,3496,560,8920
1,65,81733,1013,2598,838,3730,608,9480
1,66,80664,1069,2688,923,3900,668,10088
1,67,79513,1151,2837,920,4145,678,10756
1,68,78382,1131,3013,975,4341,724,11434
1,69,77159,1223,3087,1057,4576,740,12158
1,70,75934,1225,3217,1093,4844,789,12898
1,71,74680,1254,3275,1167,5114,823,13687
1,72,73397,1283,3407,1122,5430,851,14510
1,73,72095,1302,3509,1181,5611,941,15361
1,74,70739,1356,3593,1218,5833,959,16302
1,75,69369,1370,3662,1287,6027,1024,17261
1,76,67878,1491,3800,1232,6276,1038,18285
1,77,66381,1497,4002,1289,6431,1077,19323
1,78,64977,1404,4067,1432,6620,1100,20400
1,79,63616,1361,4108,1363,6897,1155,21500
1,80,62128,1488,4100,1369,7063,1197,22655
1,81,60674,1454,4159,1429,7235,1197,23852
1,82,59187,1487,4229,1384,7428,1236,25049
1,83,57704,1483,4303,1413,7558,1254,26285
1,84,56302,1402,4283,1503,7674,1297,27539
1,85,54859,1443,4237,1448,7842,1335,28836
1,86,53449,1410,4231,1449,7958,1332,30171
1,87,51980,1469,4189,1452,8042,1365,31503
1,88,50510,1470,4273,1385,8163,1331,32868
1,89,49068,1442,4342,1401,8242,1306,34199
1,90,47745,1323,4318,1466,8249,1394,35505
1,91,46466,1279,4249,1392,8368,1347,36899
1,92,45170,1296,4137,1391,8348,1412,38246
1,93,43936,1234,4046,1387,8349,1390,39658
1,94,42750,1186,3979,1301,8414,1322,41048
1,95,41587,1163,3871,1294,8285,1430,42370
1,96,40492,1095,3778,1256,8193,1386,43800
1,97,39454,1038,3643,1230,8086,1363,45186
1,98,38424,1030,3503,1178,7956,1360,46549
1,99,37474,950,3393,1140,7876,1258,47909
1,100,36533,941,3267,1076,7699,1317,49167
1,101,35678,855,3167,1041,7476,1299,50484
1,102,34850,828,2995,1027,7250,1267,51783
1,103,34048,802,2874,949,7071,1206,53050
1,104,33243,805,2767,909,6873,1147,54256
1,105,32515,728,2693,879,6689,1093,55403
1,106,31824,691,2605,816,6482,1086,56496
1,107,31164,660,2453,843,6306,992,57582
1,108,30568,596,2390,723,6122,1027,58574
1,109,29963,605,2253,733,5860,985,59601
1,110,29417,546,2149,709,5613,980,60586
1,111,28896,521,2010,685,5408,914,61566
1,112,28407,489,1891,640,5241,852,62480
1,113,27926,481,1774,606,5063,818,63332
1,114,27467,459,1680,575,4864,805,64150
1,115,26999,468,1591,548,4668,771,64955
1,116,26592,407,1546,513,4468,748,65726
1,117,26224,368,1482,471,4263,718,66474
1,118,25871,353,1365,485,4081,653,67192
1,119,25545,326,1303,415,3910,656,67845
1,120,25188,357,1216,413,3663,662,68501
1,121,24898,290,1154,419,3478,598,69163
1,122,24595,303,1092,352,3314,583,69761
1,123,24356,239,1028,367,3141,525,70344
1,124,24126,230,974,293,2954,554,70869
1,125,23904,222,935,269,2774,473,71423
1,126,23694,210,868,289,2578,465,71896
1,127,23491,203,814,264,2463,404,72361
1,128,23313,178,745,272,2337,390,72765
1,129,23157,156,674,249,2251,358,73155
1,130,23013,144,612,218,2136,364,73513
1,131,22878,135,560,196,2030,324,73877
1,132,22733,145,518,177,1903,323,74201
1,133,22615,118,507,156,1747,333,74524
1,134,22494,121,475,150,1626,277,74857
1,135,22378,116,449,147,1530,246,75134
1,136,22249,129,413,152,1463,214,75380
1,137,22150,99,408,134,1386,229,75594
1,138,22053,97,372,135,1295,225,75823
1,139,21947,106,349,120,1230,200,76048
1,140,21870,77,342,113,1151,199,76248
1,141,21798,72,312,107,1085,179,76447
1,142,21720,78,279,105,1010,182,76626
1,143,21663,57,273,84,954,161,76808
1,144,21603,60,258,72,865,173,76969
1,145,21540,63,224,94,800,137,77142
1,146,21487,53,201,86,755,139,77279
1,147,21431,56,200,54,712,129,77418
1,148,21377,54,189,67,670,96,77547
1,149,21324,53,187,56,629,108,77643
1,150,21289,35,177,63,584,101,77751
2,0,99900,100,0,0,0,0,0
2,1,99900,0,71,29,0,0,0
2,2,99891,9,52,19,26,3,0
2,3,99877,14,42,19,37,8,3
2,4,99857,20,40,16,49,7,11
2,5,99834,23,49,11,60,5,18
2,6,99813,21,55,17,59,12,23
2,7,99788,25,62,14,62,14,35
2,8,99767,21,61,26,66,10,49
2,9,99742,25,61,21,81,11,59
2,10,99703,39,64,22,93,9,70
2,11,99668,35,73,30,97,18,79
2,12,99623,45,80,28,110,17,97
2,13,99583,40,97,28,116,22,114
2,14,99544,39,102,35,131,13,136
2,15,99494,50,107,34,146,20,149
2,16,99444,50,123,34,145,35,169
2,17,99409,35,128,45,154,25,204
2,18,99364,45,124,39,178,21,229
2,19,99319,45,133,36,188,29,250
2,20,99258,61,130,48,195,29,279
2,21,99176,82,137,54,216,27,308
2,22,99078,98,169,50,234,36,335
2,23,99006,72,200,67,237,47,371
2,24,98921,85,220,52,265,39,418
2,25,98825,96,242,63,282,35,457
2,26,98721,104,270,68,293,52,492
2,27,98622,99,279,95,306,55,544
2,28,98512,110,291,87,350,51,599
2,29,98386,126,304,97,375,62,650
2,30,98244,142,329,101,401,71,712
2,31,98103,141,373,98,444,58,783
2,32,97943,160,400,114,460,82,841
2,33,97788,155,415,145,489,85,923
2,34,97608,180,405,165,535,99,1008
2,35,97404,204,450,135,612,88,1107
2,36,97223,181,490,164,646,101,1195
2,37,96985,238,502,169,695,115,1296
2,38,96742,243,566,174,738,126,1411
2,39,96483,259,618,191,781,131,1537
2,40,96218,265,650,227,832,140,1668
2,41,95924,294,692,223,918,141,1808
2,42,95606,318,726,260,999,142,1949
2,43,95260,346,788,256,1092,167,2091
2,44,94889,371,837,297,1172,176,2258
2,45,94516,373,897,311,1279,190,2434
2,46,94114,402,946,324,1376,214,2624
2,47,93639,475,1038,310,1462,238,2838
2,48,93173,466,1116,397,1503,269,3076
2,49,92657,516,1170,412,1634,266,3345
2,50,92126,531,1243,443,1754,292,3611
2,51,91561,565,1340,434,1880,317,3903
2,52,90990,571,1415,490,2011,303,4220
2,53,90316,674,1489,497,2132,369,4523
2,54,89644,672,1600,563,2252,377,4892
2,55,88931,713,1690,582,2454,361,5269
2,56,88195,736,1771,632,2626,410,5630
2,57,87381,814,1878,629,2742,516,6040
2,58,86610,771,1997,695,2902,469,6556
2,59,85725,885,2115,653,3074,523,7025
2,60,84823,902,2238,762,3226,501,7548
2,61,83847,976,2349,791,3410,578,8049
2,62,82868,979,2525,800,3573,628,8627
2,63,81842,1026,2609,895,3733,640,9255
2,64,80749,1093,2713,922,3968,660,9895
2,65,79669,1080,2838,968,4186,704,10555
2,66,78541,1128,2945,973,4408,746,11259
2,67,77349,1192,3070,1003,4639,742,12005
2,68,76086,1263,3219,1043,4837,805,12747
2,69,74876,1210,3325,1157,4962,918,13552
2,70,73611,1265,3391,1144,5219,900,14470
2,71,72332,1279,3498,1158,5465,898,15370
2,72,71011,1321,3589,1188,5654,969,16268
2,73,69639,1372,3650,1260,5880,962,17237
2,74,68240,1399,3751,1271,6095,1045,18199
2,75,66827,1413,3816,1334,6310,1056,19244
2,76,65449,1378,3945,1284,6505,1139,20300
2,77,63956,1493,3969,1354,6728,1061,21439
2,78,62517,1439,4068,1394,6915,1167,22500
2,79,61059,1458,4114,1393,7107,1202,23667
2,80,59563,1496,4235,1337,7268,1232,24869
2,81,58106,1457,4298,1433,7404,1201,26101
2,82,56694,1412,4331,1424,7623,1214,27302
2,83,55221,1473,4388,1355,7723,1324,28516
2,84,53877,1344,4417,1444,7809,1269,29840
2,85,52574,1303,4349,1412,7909,1344,31109
2,86,51200,1374,4244,1408,8029,1292,32453
2,87,49830,1370,4189,1429,8116,1321,33745
2,88,48502,1328,4196,1363,8239,1306,35066
2,89,47194,1308,4108,1416,8238,1364,36372
2,90,45957,1237,4086,1330,8253,1401,37736
2,91,44715,1242,3963,1360,8175,1408,39137
2,92,43556,1159,3878,1327,8165,1370,40545
2,93,42450,1106,3797,1240,8173,1319,41915
2,94,41296,1154,3657,1246,8056,1357,43234
2,95,40208,1088,3594,1217,8039,1263,44591
2,96,39154,1054,3460,1222,7933,1323,45854
2,97,38127,1027,3407,1107,7892,1263,47177
2,98,37178,949,3332,1102,7722,1277,48440
2,99,36240,938,3194,1087,7570,1254,49717
2,100,35378,862,3115,1017,7410,1247,50971
2,101,34561,817,3008,969,7166,1261,52218
2,102,33774,787,2833,992,6968,1167,53479
2,103,32976,798,2711,909,6836,1124,54646
2,104,32295,681,2622,887,6700,1045,55770
2,105,31598,697,2467,836,6531,1056,56815
2,106,30952,646,2320,844,6283,1084,57871
2,107,30331,621,2202,764,6075,1052,58955
2,108,29770,561,2115,708,5851,988,60007
2,109,29245,525,1997,679,5621,938,60995
2,110,28728,517,1931,591,5405,895,61933
2,111,28225,503,1825,623,5070,926,62828
2,112,27768,457,1733,595,4921,772,63754
2,113,27361,407,1645,545,4722,794,64526
2,114,26956,405,1544,508,4516,751,65320
2,115,26617,339,1480,469,4286,738,66071
2,116,26270,347,1383,436,4107,648,66809
2,117,25934,336,1299,431,3892,651,67457
2,118,25637,297,1202,433,3668,655,68108
2,119,25333,304,1122,377,3521,580,68763
2,120,25029,304,1068,358,3324,574,69343
2,121,24799,230,1055,317,3185,497,69917
2,122,24568,231,969,316,3009,493,70414
2,123,24344,224,914,286,2810,515,70907
2,124,24091,253,851,287,2645,451,71422
2,125,23898,193,830,274,2528,404,71873
2,126,23719,179,775,248,2407,395,72277
2,127,23535,184,712,242,2269,386,72672
2,128,23381,154,676,220,2113,398,73058
2,129,23205,176,620,210,1999,334,73456
2,130,23054,151,608,188,1891,318,73790
2,131,22928,126,562,197,1815,264,74108
2,132,22801,127,493,195,1721,291,74372
2,133,22697,104,475,145,1640,276,74663
2,134,22572,125,446,133,1545,240,74939
2,135,22444,128,421,150,1452,226,75179
2,136,22358,86,396,153,1388,214,75405
2,137,22249,109,361,121,1320,221,75619
2,138,22148,101,362,108,1245,196,75840
2,139,22069,79,350,113,1183,170,76036
2,140,21986,83,325,104,1120,176,76206
2,141,21898,88,296,112,1039,185,76382
2,142,21826,72,274,110,969,182,76567
2,143,21759,67,259,87,930,149,76749
2,144,21696,63,252,74,865,152,76898
2,145,21645,51,231,84,801,138,77050
2,146,21583,62,215,67,755,130,77188
2,147,21534,49,215,62,704,118,77318
2,148,21488,46,211,53,662,104,77436
2,149,21447,41,207,50,626,89,77540
2,150,21400,47,174,74,589,87,77629
3,0,99900,100,0,0,0,0,0
3,1,99900,0,79,21,0,0,0
3,2,99893,7,56,23,16,5,0
3,3,99881,12,51,12,36,3,5
3,4,99871,10,48,15,42,6,8
3,5,99859,12,44,14,48,9,14
3,6,99846,13,48,8,53,9,23
3,7,99829,17,42,19,56,5,32
3,8,99805,24,49,10,64,11,37
3,9,99785,20,54,19,68,6,48
3,10,99768,17,57,17,67,20,54
3,11,99738,30,52,22,78,6,74
3,12,99697,41,67,15,86,14,80
3,13,99663,34,75,33,78,23,94
3,14,99628,35,75,34,97,14,117
3,15,99599,29,79,31,109,22,131
3,16,99561,38,75,33,125,15,153
3,17,99512,49,89,24,135,23,168
3,18,99473,39,107,31,136,23,191
3,19,99424,49,114,32,140,27,214
3,20,99374,50,120,43,146,26,241
3,21,99322,52,123,47,158,31,267
3,22,99259,63,130,45,172,33,298
3,23,99203,56,138,55,188,29,331
3,24,99142,61,143,51,202,41,360
3,25,99053,89,149,55,220,33,401
3,26,98978,75,173,65,231,44,434
3,27,98883,95,182,66,259,37,478
3,28,98789,94,221,56,283,42,515
3,29,98697,92,232,83,284,55,557
3,30,98596,101,243,81,311,56,612
3,31,98489,107,261,83,333,59,668
3,32,98370,119,279,89,365,51,727
3,33,98253,117,289,109,374,80,778
3,34,98136,117,306,100,418,65,858
3,35,97990,146,314,109,446,72,923
3,36,97846,144,344,116,482,73,995
3,37,97689,157,366,122,508,90,1068
3,38,97532,157,374,149,539,91,1158
3,39,97342,190,402,129,579,109,1249
3,40,97140,202,453,139,624,84,1358
3,41,96925,215,503,152,665,98,1442
3,42,96689,236,525,193,707,110,1540
3,43,96424,265,567,194,776,124,1650
3,44,96146,278,632,200,838,132,1774
3,45,95882,264,701,209,913,125,1906
3,46,95593,289,711,254,975,147,2031
3,47,95250,343,764,236,1050,179,2178
3,48,94903,347,828,279,1084,202,2357
3,49,94568,335,878,297,1170,193,2559
3,50,94178,390,931,282,1273,194,2752
3,51,93804,374,998,323,1315,240,2946
3,52,93378,426,1019,353,1419,219,3186
3,53,92901,477,1113,332,1519,253,3405
3,54,92446,455,1220,370,1581,270,3658
3,55,91933,513,1240,435,1674,277,3928
3,56,91326,607,1324,429,1802,307,4205
3,57,90765,561,1481,450,1928,303,4512
3,58,90173,592,1567,475,2059,319,4815
3,59,89505,668,1642,517,2163,371,5134
3,60,88815,690,1749,561,2295,385,5505
3,61,88123,692,1832,607,2438,418,5890
3,62,87362,761,1865,659,2623,422,6308
3,63,86584,778,1979,647,2789,493,6730
3,64,85736,848,2055,702,2905,531,7223
3,65,84817,919,2192,711,3067,540,7754
3,66,83915,902,2343,768,3231,547,8294
3,67,82987,928,2400,845,3413,586,8841
3,68,82011,976,2505,823,3630,628,9427
3,69,80969,1042,2600,881,3815,638,10055
3,70,79892,1077,2742,900,3993,703,10693
3,71,78803,1089,2841,978,4198,695,11396
3,72,77656,1147,2936,994,4437,739,12091
3,73,76511,1145,3041,1042,4635,796,12830
3,74,75320,1191,3142,1044,4868,809,13626
3,75,74094,1226,3245,1088,5048,864,14435
3,76,72847,1247,3356,1115,5294,842,15299
3,77,71568,1279,3435,1168,5504,905,16141
3,78,70167,1401,3556,1158,5692,980,17046
3,79,68851,1316,3708,1249,5868,982,18026
3,80,67470,1381,3732,1292,6140,977,19008
3,81,66030,1440,3892,1221,6401,1031,19985
3,82,64683,1347,3962,1370,6595,1027,21016
3,83,63250,1433,3989,1320,6769,1196,22043
3,84,61888,1362,4031,1391,6932,1157,23239
3,85,60426,1462,4050,1343,7136,1187,24396
3,86,59001,1425,4173,1339,7265,1214,25583
3,87,57633,1368,4195,1403,7400,1204,26797
3,88,56196,1437,4217,1346,7480,1323,28001
3,89,54849,1347,4261,1393,7547,1279,29324
3,90,53445,1404,4218,1390,7727,1213,30603
3,91,52076,1369,4227,1395,7825,1292,31816
3,92,50730,1346,4214,1382,7904,1316,33108
3,93,49419,1311,4115,1445,7979,1307,34424
3,94,48063,1356,4107,1319,8062,1362,35731
3,95,46829,1234,4106,1357,8020,1361,37093
3,96,45602,1227,4018,1322,8073,1304,38454
3,97,44471,1131,3938,1307,8061,1334,39758
3,98,43341,1130,3810,1259,8079,1289,41092
3,99,42214,1127,3732,1208,8032,1306,42381
3,100,41183,1031,3620,1239,7949,1291,43687
