"sim_num","mean_gi","sd_gi","median_gi","n_gi"
1,5.88059066057184,3.87619212463749,5,44628
2,5.89204762011524,3.88570743092014,5,44603
3,5.87936622254231,3.88325677371426,5,44432
4,5.89772140532046,3.86541738622664,5,44545
5,5.91455625028114,3.88755956159226,5,44462
6,5.8608341398636,3.84409802380358,5,44429
7,5.87039747776151,3.90068796201218,5,44405
8,5.92991148847999,3.91270707811133,5,44401
9,5.87611134750185,3.8382853088482,5,44653
10,5.87808129420005,3.84350930204163,5,44259
11,5.88140167787499,3.84919160369637,5,44461
12,5.88341402995158,3.88491267495829,5,44405
13,5.92205400062896,3.94557604255348,5,44518
14,5.88996173756471,3.83604373788976,5,44430
15,5.88730369138826,3.87716581300435,5,44509
16,5.88775441660509,3.8660403052699,5,44661
17,5.8782411360266,3.87269380429039,5,44506
18,5.90397656866058,3.88152765576822,5,44385
19,5.87460786747613,3.8409087662395,5,44309
20,5.87769670765212,3.89018487462057,5,44406
21,5.87541845469456,3.8350498714105,5,44509
22,5.8609516089081,3.84247321871222,5,44409
23,5.97043228183697,3.94447466410121,5,44508
24,5.87376516757635,3.87139162727847,5,44338
25,5.86910700642668,3.88103856670177,5,44502
26,5.85432031937208,3.86916128305052,5,44337
27,5.88650766991378,3.85092738297447,5,44655
28,5.89964085297419,3.90271575260794,5,44550
29,5.86683320955146,3.82741497904117,5,44433
30,5.85247189246202,3.82560279751912,5,44561
31,5.89829825347067,3.84905198798231,5,44660
32,5.88618529657855,3.86330827791952,5,44221
33,5.90302306721932,3.86504886665684,5,44392
34,5.88716058262902,3.8591177672415,5,44488
35,5.86295536981549,3.8566649680945,5,44387
36,5.86776618422529,3.82612789810516,5,44565
37,5.89210153562515,3.89863698497579,5,44477
38,5.88764724324809,3.85197790416826,5,44654
39,5.85112164013204,3.82855587991337,5,44533
40,5.90759320360021,3.89211486428521,5,44553
41,5.90097292914734,3.84119685967513,5,44402
42,5.88012221423436,3.85524839926838,5,44512
43,5.89672481710748,3.88374462344373,5,44425
44,5.89844433968617,3.90046593300296,5,44547
45,5.87255517674502,3.86352267939607,5,44584
46,5.89255288061681,3.8917441922855,5,44487
47,5.8832779971285,3.84232033858124,5,44576
48,5.87489104927925,3.8597392612225,5,44745
49,5.93950961020298,3.92464966808185,5,44536
50,5.89588252490499,3.91931399868079,5,44469
51,5.88028831087433,3.82967856815228,5,44674
52,5.89782892075336,3.85324454771066,5,44494
53,5.8743466068424,3.81180898295672,5,44575
54,5.85919482095893,3.87346504168808,5,44487
55,5.89120802501068,3.8874018617516,5,44461
56,5.89416050187754,3.85615857153421,5,44473
57,5.8698181001572,3.8819933175683,5,44530
58,5.90890143875218,3.8704239595077,5,44622
59,5.88981556821264,3.87629338487191,5,44244
60,5.88098341498494,3.85990156678964,5,44498
61,5.88119832395976,3.86960921133577,5,44629
62,5.91967529264027,3.88363779176971,5,44594
63,5.88804042672656,3.85937471494438,5,44525
64,5.89480159262739,3.8636596709329,5,44706
65,5.89907782276203,3.85618382263648,5,44460
66,5.89401451300311,3.84301550550761,5,44374
67,5.85835313102335,3.81242276741,5,44618
68,5.90532292087429,3.88085139489691,5,44562
69,5.87765945521802,3.85568104103264,5,44605
70,5.86706451976129,3.84981863807639,5,44405
71,5.91824604687675,3.93234380549476,5,44585
72,5.87978117472253,3.85138630211636,5,44419
73,5.90779360870151,3.86407094611554,5,44498
74,5.89264712483728,3.85805053478899,5,44554
75,5.87514007799543,3.83437211495973,5,44618
76,5.88322975772314,3.86047333408589,5,44412
77,5.89221704453804,3.86063494924056,5,44636
78,5.86998246954646,3.90138953773359,5,44494
79,5.90334964752369,3.89713299045415,5,44542
80,5.87748799675405,3.84740360213993,5,44363
81,5.90090494689332,3.9215955488158,5,44533
82,5.89046944875166,3.90005061587099,5,44499
83,5.85876492235885,3.81702036513585,5,44564
84,5.84476064366991,3.85779172491517,5,44557
85,5.83640864086409,3.78038837054049,5,44440
86,5.88205439152013,3.83524370414944,5,44529
87,5.90626828061018,3.89132815075371,5,44446
88,5.85927921859212,3.85956459889534,5,44535
89,5.878463956883,3.86514533305177,5,44530
90,5.91202662588828,3.90470471019029,5,44468
91,5.875779182923,3.85656634143083,5,44598
92,5.90246318728329,3.94599537304588,5,44414
93,5.86081684172565,3.86073216883395,5,44366
94,5.85676637534913,3.82381491145947,5,44396
95,5.89580198108758,3.80910629635878,5,44521
96,5.85785513756317,3.86281975406271,5,44525
97,5.87534087353033,3.84267637223862,5,44738
98,5.89475928627539,3.86940468809377,5,44555
99,5.88149934141495,3.85369085020632,5,44793
100,5.8768265815386,3.83471291068833,5,44482
