"sim_num","mean_gi","sd_gi","median_gi","n_gi"
1,3.31587558224583,3.08052561326891,2,51954
2,3.3066110895696,3.10045575220029,2,51580
3,3.28866857718225,3.0703103654839,2,51644
4,3.29398996065663,3.09854263740675,2,51597
5,3.29600170717986,3.07059303919978,2,51547
6,3.31475239324306,3.09762201958963,2,51917
7,3.31999536965581,3.1041442274896,2,51832
8,3.32143064170193,3.09337725890088,2,51753
9,3.32235280495571,3.15270462705232,2,51819
10,3.32671942278599,3.09583219119705,2,51558
11,3.32023823381058,3.09963505302101,2,51546
12,3.32302837895389,3.07317820633733,2,51658
13,3.3051546791159,3.11353829132764,2,51623
14,3.292186168977,3.06125572957281,2,51652
15,3.29652638867518,3.07431829705233,2,51992
16,3.30075042923009,3.05098311543715,2,51837
17,3.29401663225732,3.12421108648775,2,51827
18,3.29657127429806,3.07997732922196,2,51856
19,3.32733944954128,3.13226249160578,2,51775
20,3.32241335939163,3.12278234669802,2,51679
21,3.30925251123065,3.14694181294617,2,51867
22,3.2983888125955,3.07836323847746,2,51701
23,3.31865374966228,3.12908247500936,2,51818
24,3.27468217473627,3.03458767651842,2,51758
25,3.3064914992272,3.11813865497613,2,51760
26,3.2834749034749,3.052598022775,2,51800
27,3.31215837759536,3.11092395971559,2,51775
28,3.29793715056873,3.07785723775852,2,51870
29,3.35819139291295,3.17233819604907,2,51841
30,3.30435706695005,3.07081649852985,2,51755
31,3.30982914261361,3.09095316221691,2,51622
32,3.32582853375221,3.08696756546935,2,51567
33,3.29373981215555,3.09535086192208,2,51532
34,3.31342388360034,3.12630321183573,2,51684
35,3.32803426388594,3.14350842030298,2,51833
36,3.32318369872018,3.09119749370129,2,51726
37,3.32599679790128,3.10689401102547,2,51841
38,3.32236918661029,3.10991403713414,2,51562
39,3.29423024865617,3.06479358669212,2,51718
40,3.32317202333956,3.12298780419466,2,51929
41,3.31909212283044,3.08173879578793,2,51681
42,3.31009298721426,3.12700650723768,2,51620
43,3.31458389807536,3.07149126335229,2,51646
44,3.31189355644646,3.10173557858396,2,51633
45,3.29099647300492,3.05990270009472,2,51602
46,3.32153780634171,3.1596971047136,2,51658
47,3.30971910547087,3.12838591287397,2,51692
48,3.32165531124187,3.11852443731955,2,51664
49,3.30184363065351,3.09398204233091,2,51583
50,3.28483765729377,3.07777931818795,2,51496
51,3.30565555684589,3.12742722907962,2,51666
52,3.3229991120034,3.09836791940218,2,51802
53,3.3114909597739,3.09871654615741,2,51658
54,3.29998261306338,3.09020355688068,2,51763
55,3.30635279565528,3.1317513135361,2,51741
56,3.32443353182275,3.12356203879329,2,51724
57,3.31276851027596,3.07988780434728,2,51674
58,3.29821407862693,3.03969224051373,2,51738
59,3.30468931362687,3.06400338731371,2,51692
60,3.32415287018412,3.12038281738934,2,51704
61,3.30947730744687,3.10638367409778,2,51713
62,3.31015309766975,3.11423182346724,2,51797
63,3.2871818638242,3.07226543991647,2,51786
64,3.28283062645012,3.0640246629899,2,51720
65,3.32739966442306,3.11608903338275,2,51851
66,3.29138829179496,3.10817679857817,2,51639
67,3.31347865541676,3.15178392363301,2,51793
68,3.32880198993463,3.13181079934732,2,51861
69,3.29094802639194,3.09864324633394,2,51834
70,3.29876929616105,3.09344101694616,2,51759
71,3.33578417182887,3.13742563940433,2,51819
72,3.29200665145597,3.07863100425018,2,51718
73,3.31049379128649,3.11213459571239,2,51621
74,3.33579314352121,3.13043067962204,2,51630
75,3.31386056231738,3.08760206914516,2,51679
76,3.32308968497405,3.12880031736764,2,51837
77,3.31383318184455,3.09803810260468,2,51709
78,3.31815989970103,3.12862690525593,2,51845
79,3.29088412216398,3.08924757099038,2,51701
80,3.30719596286452,3.09859906567706,2,51918
81,3.30536022161523,3.12803624472112,2,51621
82,3.31307350573263,3.07272152655014,2,51547
83,3.30008526801287,3.07701755703062,2,51602
84,3.32896517066759,3.15540927682271,2,51738
85,3.30662378673693,3.08072342385808,2,51617
86,3.33246929103395,3.12258062122387,2,51695
87,3.27283658508204,3.03857569292545,2,51562
88,3.31511061262376,3.07058975563577,2,51712
89,3.29903051647735,3.11623670703543,2,51677
90,3.31625826601631,3.08877449273578,2,51869
91,3.34209660882518,3.14890201686475,2,51693
92,3.29651870016026,3.07030751356845,2,51791
93,3.31250121192143,3.10083192521627,2,51571
94,3.33285625870339,3.15699966470096,2,51704
95,3.31527236227464,3.08019648640863,2,51806
96,3.29774976801732,3.08436877147413,2,51728
97,3.30591819812176,3.12501438967682,2,51857
98,3.31452362509682,3.10342361896967,2,51640
99,3.3023939927619,3.0892851712691,2,51671
100,3.34171486044757,3.15315053389001,2,51701
