"source_exposure_date","mean_rt","ci_lower","ci_upper","n"
0,2.1873,1.7995,2.57525,100
1,2.21439504691087,1.425,3.12788793103448,100
2,2.17877177989247,1.58269230769231,2.97852011494253,100
3,2.17404754868351,1.50998563218391,2.85906862745098,100
4,2.25085490585548,1.6526833976834,2.99591362126246,100
5,2.18868817180873,1.64209183673469,2.84071094966269,100
6,2.10600398171693,1.61351787487587,2.54654471544715,100
7,2.13194136980846,1.59012578616352,2.7508085106383,100
8,2.13875112618592,1.73390552995392,2.70395408163265,100
9,2.14026944233266,1.67300019751136,2.62038461538461,100
10,2.15644079993904,1.76813725490196,2.55534420289855,100
11,2.11244555122317,1.74781468531469,2.48208412397217,100
12,2.08857419711438,1.82113336713996,2.3921875,100
13,2.07038479613842,1.71070402298851,2.38565910188315,100
14,2.083587843269,1.75714962121212,2.37444545454545,100
15,2.08869618021413,1.80763934970139,2.3148401826484,100
16,2.04824877041313,1.80829745596869,2.30896579043595,100
17,2.04976822644654,1.7791117865586,2.29798701298701,100
18,2.02306934714143,1.78723818987922,2.25572582833998,100
19,2.03370951337397,1.80073614764095,2.25924364460106,100
20,1.99228656760502,1.81929052674561,2.16245286428055,100
21,1.98245201951361,1.7997171145686,2.19652823920266,100
22,1.95880147541327,1.79154352678571,2.14055398618958,100
23,1.96018696384274,1.83380569728438,2.11262883358472,100
24,1.93303116886832,1.77065562864957,2.11255485382198,100
25,1.89294897734884,1.75792682926829,2.06730434782609,100
26,1.86518362763316,1.70011863425926,1.99775590551181,100
27,1.85204037751169,1.72603525215273,2.0099117237107,100
28,1.80342965099194,1.68530064593361,1.96824819447607,100
29,1.77893053536758,1.66503565818019,1.94061976144423,100
30,1.75239762596734,1.64320845454929,1.86056268411719,100
31,1.70239941592785,1.583369187193,1.82561095202605,100
32,1.66972572840104,1.56161578372689,1.79877843804897,100
33,1.61826754051143,1.52069613883068,1.72304393992608,100
34,1.56856647715484,1.45124679426907,1.69381280093692,100
35,1.53907813817866,1.4469906970104,1.67350052392529,100
36,1.49803119239255,1.38878770665969,1.60945573165975,100
37,1.44739453476126,1.34107446074786,1.56630563996222,100
38,1.39473867211964,1.30176807160151,1.50509341427455,100
39,1.35031844749664,1.25196156301877,1.46374892832072,100
40,1.30138644311012,1.20799659098052,1.42236747396054,100
41,1.2530360449076,1.16229349473613,1.38424068564614,100
42,1.20383869417848,1.10907340985175,1.30581982929243,100
43,1.15563433577097,1.05160309909273,1.2810407042839,100
44,1.10907886506786,1.01499961312882,1.20875383100291,100
45,1.06402354352427,0.970456164071063,1.15999987987411,100
46,1.01665500445079,0.923216624985114,1.11716256191765,100
47,0.973223802398443,0.882073114926665,1.06869727670612,100
48,0.933166395737044,0.847969249262628,1.02138073280335,100
49,0.890288523810672,0.80785711946,0.973130721071075,100
50,0.852644722831951,0.776649988579314,0.952226176633535,100
51,0.81398922152818,0.736383771662203,0.916187982042132,100
52,0.777658788762912,0.706086663150247,0.873883205398418,100
53,0.745870982184555,0.679317686440525,0.827928591427563,100
54,0.716577381395236,0.644967822671454,0.77428313691501,100
55,0.689273480869466,0.628130992702955,0.766621436478884,100
56,0.661875739936372,0.60366163349348,0.742965808379511,100
57,0.640107314634298,0.582334897938592,0.708819000449488,100
58,0.616082892108746,0.561359588013376,0.685263857111037,100
59,0.59567228333761,0.539160250650424,0.668254812176374,100
60,0.572280078119557,0.52095516343634,0.626687065672733,100
61,0.559018281555867,0.509044494690956,0.617128317839271,100
62,0.541199861904624,0.48622154671007,0.596317277579894,100
63,0.526162367325286,0.473838573582336,0.587931104325065,100
64,0.510314637416948,0.456480194006678,0.559949680710477,100
65,0.499230798041713,0.436156241126121,0.542811013625472,100
66,0.484154091779916,0.447742837758263,0.531174304299632,100
67,0.475113783187045,0.424505090682548,0.52659157930339,100
68,0.469822567180875,0.409567810646905,0.521676136363636,100
69,0.45889493189608,0.408937198067633,0.503706465546045,100
70,0.443835085174135,0.389426626409935,0.491286414383009,100
71,0.439509915765679,0.366741935483871,0.499387718023256,100
72,0.43327233732617,0.376606482324754,0.490872676840972,100
73,0.430967075268384,0.380603641311837,0.498278139056452,100
74,0.421910200059762,0.355407108098714,0.485581283934845,100
75,0.417137898037506,0.349211822660099,0.478046239981811,100
76,0.410938380811311,0.354581664545865,0.48122356437172,100
77,0.411785615563022,0.340553807106599,0.473264984227129,100
78,0.408376750069759,0.335142857142857,0.474258199847445,100
79,0.397901362176072,0.313267295597484,0.489599515606638,100
80,0.396903846476501,0.320041709227103,0.47279644012945,100
81,0.384722250548899,0.303220272976782,0.463123845552714,100
82,0.389671504403535,0.302479754820813,0.492468869731801,100
83,0.380611568147762,0.291011946285316,0.458318992328426,100
84,0.388301914444005,0.320588235294118,0.490287045197029,100
85,0.394629585733059,0.305295868347339,0.497106308991555,100
86,0.379149818933821,0.272180478030628,0.497067901234568,100
87,0.375892826603123,0.258808876811594,0.494407609872267,100
88,0.376830790818634,0.264545454545455,0.49820423855964,100
89,0.376668338603014,0.263378378378378,0.482834208088916,100
90,0.378016135595339,0.268521062271062,0.486376811594203,100
91,0.380678076472063,0.238979007633588,0.51813446969697,100
92,0.375154228810733,0.255650037792895,0.526464585834334,100
93,0.365431773557168,0.239242424242424,0.52576726342711,100
94,0.386878420558314,0.254398148148148,0.522863051470588,100
95,0.380417922506146,0.226215053763441,0.534912132883967,100
96,0.382987458329465,0.252012711864407,0.523391544117647,100
97,0.375185355186581,0.247467320261438,0.545326086956521,100
98,0.352723997814581,0.194750158127767,0.517383512544803,100
99,0.362986851740994,0.195121951219512,0.541131756756757,100
100,0.366243355763257,0.183068181818182,0.559685559006211,100
101,0.391446956041038,0.182193732193732,0.609659090909091,100
102,0.35660243813892,0.15599593495935,0.562756598240469,100
103,0.384182451053156,0.187815656565657,0.627073732718893,100
104,0.364774438728102,0.151612903225806,0.646875,100
105,0.372530428602421,0.151612903225806,0.655108173076923,100
106,0.343204793130536,0.14625,0.61,100
107,0.381924516819495,0.12758152173913,0.666666666666667,100
108,0.345919069266938,0.123106060606061,0.622172619047619,100
109,0.361969154042581,0.108040935672515,0.674621212121212,100
110,0.368326747368025,0.14625,0.674621212121212,100
111,0.353805527743521,0.0559375,0.71711229946524,100
112,0.385030081287821,0.11421568627451,0.768831168831168,100
113,0.33807125077365,0.0759943181818182,0.65735294117647,100
114,0.346855436617047,0,0.721103896103896,100
115,0.334528482954954,0,0.785384615384615,100
116,0.339186480916744,0,0.789444444444444,100
117,0.387898532023532,0,0.866517857142857,100
118,0.374434831508361,0,0.866517857142857,100
119,0.3331081417757,0,1,99
120,0.327350510600511,0,0.866517857142857,100
121,0.328209857036388,0,0.857142857142857,98
122,0.36850690975691,0,1.175,100
123,0.332379349046016,0,1,99
124,0.395190476190476,0,1.075,100
125,0.408252348558471,0,1.315,98
126,0.410839812115322,0,1.2875,98
127,0.342638483965015,0,1.14375,98
128,0.337723214285714,0,1.10416666666667,96
129,0.312525329280648,0,1,94
130,0.328301423662248,0,1,97
131,0.295159602302459,0,1.15,91
132,0.419656699889258,0,1.29166666666667,86
133,0.371290143964563,0,1.4375,86
134,0.370740103270224,0,1,83
135,0.271604938271605,0,1,81
136,0.283333333333333,0,1,72
137,0.301744186046512,0,1,86
138,0.258095238095238,0,2,70
139,0.280666666666667,0,2,75
140,0.281182795698925,0,1.475,62
141,0.193121693121693,0,1,63
142,0.270491803278689,0,1.5,61
143,0.234203296703297,0,1,52
144,0.151741293532338,0,1,67
145,0.225,0,1,50
146,0.118421052631579,0,1,38
147,0.0465116279069767,0,0.5,43
148,0.11046511627907,0,1,43
149,0.0285714285714286,0,0.149999999999999,35
150,0,0,0,42
