"id","date","susceptible_to_susceptible","susceptible_to_exposed","exposed_to_exposed","exposed_to_infected","infected_to_infected","infected_to_removed","removed_to_removed"
1,0,99900,100,0,0,0,0,0
1,1,99872,28,74,26,0,0,0
1,2,99848,24,71,31,19,7,0
1,3,99823,25,76,19,43,7,7
1,4,99791,32,80,21,55,7,14
1,5,99762,29,84,28,71,5,21
1,6,99717,45,73,40,80,19,26
1,7,99665,52,88,30,100,20,45
1,8,99610,55,109,31,116,14,65
1,9,99532,78,127,37,130,17,79
1,10,99460,72,154,51,139,28,96
1,11,99371,89,157,69,157,33,124
1,12,99267,104,178,68,200,26,157
1,13,99148,119,214,68,224,44,183
1,14,99038,110,251,82,250,42,227
1,15,98905,133,273,88,285,47,269
1,16,98733,172,301,105,320,53,316
1,17,98573,160,371,102,374,51,369
1,18,98354,219,393,138,403,73,420
1,19,98126,228,442,170,468,73,493
1,20,97867,259,502,168,546,92,566
1,21,97576,291,553,208,603,111,658
1,22,97209,367,651,193,707,104,769
1,23,96835,374,768,250,763,137,873
1,24,96383,452,851,291,863,150,1010
1,25,95887,496,962,341,984,170,1160
1,26,95319,568,1112,346,1127,198,1330
1,27,94679,640,1241,439,1281,192,1528
1,28,94006,673,1423,458,1482,238,1720
1,29,93222,784,1565,531,1672,268,1958
1,30,92429,793,1779,570,1880,323,2226
1,31,91479,950,1921,651,2088,362,2549
1,32,90436,1043,2175,696,2327,412,2911
1,33,89218,1218,2404,814,2603,420,3323
1,34,87952,1266,2695,927,2905,512,3743
1,35,86582,1370,2931,1030,3293,539,4255
1,36,85028,1554,3235,1066,3690,633,4794
1,37,83441,1587,3570,1219,4075,681,5427
1,38,81736,1705,3893,1264,4574,720,6108
1,39,79885,1851,4227,1371,4998,840,6828
1,40,77816,2069,4544,1534,5470,899,7668
1,41,75664,2152,5019,1594,6045,959,8567
1,42,73463,2201,5334,1837,6612,1027,9526
1,43,71148,2315,5636,1899,7274,1175,10553
1,44,68731,2417,6000,1951,7819,1354,11728
1,45,66288,2443,6306,2111,8412,1358,13082
1,46,63772,2516,6554,2195,9080,1443,14440
1,47,61242,2530,6773,2297,9593,1682,15883
1,48,58699,2543,7051,2252,10189,1701,17565
1,49,56170,2529,7189,2405,10641,1800,19266
1,50,53632,2538,7318,2400,11163,1883,21066
1,51,51213,2419,7434,2422,11637,1926,22949
1,52,48982,2231,7457,2396,12038,2021,24875
1,53,46810,2172,7338,2350,12396,2038,26896
1,54,44627,2183,7121,2389,12624,2122,28934
1,55,42574,2053,6967,2337,12879,2134,31056
1,56,40616,1958,6746,2274,13030,2186,33190
1,57,38823,1793,6545,2159,13099,2205,35376
1,58,37075,1748,6199,2139,13116,2142,37581
1,59,35372,1703,6030,1917,13150,2105,39723
1,60,33789,1583,5772,1961,12891,2176,41828
1,61,32299,1490,5551,1804,12752,2100,44004
1,62,30998,1301,5226,1815,12526,2030,46104
1,63,29775,1223,4897,1630,12279,2062,48134
1,64,28651,1124,4579,1541,11923,1986,50196
1,65,27648,1003,4340,1363,11549,1915,52182
1,66,26704,944,4039,1304,11046,1866,54097
1,67,25780,924,3756,1227,10557,1793,55963
1,68,24998,782,3523,1157,10092,1692,57756
1,69,24219,779,3249,1056,9656,1593,59448
1,70,23539,680,3034,994,9198,1514,61041
1,71,22928,611,2779,935,8743,1449,62555
1,72,22396,532,2555,835,8294,1384,64004
1,73,21930,466,2257,830,7876,1253,65388
1,74,21472,458,2003,720,7475,1231,66641
1,75,21038,434,1827,634,6980,1215,67872
1,76,20631,407,1660,601,6512,1102,69087
1,77,20281,350,1540,527,6123,990,70189
1,78,19954,327,1433,457,5728,922,71179
1,79,19643,311,1345,415,5365,820,72101
1,80,19376,267,1217,439,4947,833,72921
1,81,19132,244,1123,361,4629,757,73754
1,82,18902,230,1035,332,4272,718,74511
1,83,18727,175,942,323,3965,639,75229
1,84,18559,168,821,296,3650,638,75868
1,85,18406,153,739,250,3393,553,76506
1,86,18258,148,667,225,3124,519,77059
1,87,18107,151,636,179,2900,449,77578
1,88,17983,124,578,209,2625,454,78027
1,89,17876,107,522,180,2419,415,78481
1,90,17780,96,478,151,2218,381,78896
1,91,17681,99,415,159,2036,333,79277
1,92,17585,96,388,126,1857,338,79610
1,93,17509,76,368,116,1696,287,79948
1,94,17438,71,331,113,1551,261,80235
1,95,17362,76,315,87,1412,252,80496
1,96,17300,62,281,110,1277,222,80748
1,97,17233,67,245,98,1203,184,80970
1,98,17171,62,239,73,1116,185,81154
1,99,17117,54,208,93,1019,170,81339
1,100,17068,49,189,73,929,183,81509
1,101,17026,42,182,56,865,137,81692
1,102,16986,40,172,52,792,129,81829
1,103,16961,25,155,57,741,103,81958
1,104,16933,28,134,46,692,106,82061
1,105,16900,33,122,40,628,110,82167
1,106,16884,16,125,30,562,106,82277
1,107,16854,30,100,41,491,101,82383
1,108,16836,18,102,28,462,70,82484
1,109,16812,24,87,33,410,80,82554
1,110,16799,13,80,31,375,68,82634
1,111,16784,15,70,23,339,67,82702
1,112,16775,9,58,27,316,46,82769
1,113,16759,16,52,15,293,50,82815
1,114,16745,14,42,26,274,34,82865
1,115,16732,13,43,13,246,54,82899
1,116,16727,5,39,17,222,37,82953
1,117,16719,8,33,11,214,25,82990
1,118,16713,6,36,5,196,29,83015
1,119,16706,7,27,15,172,29,83044
1,120,16696,10,27,7,157,30,83073
1,121,16692,4,26,11,144,20,83103
1,122,16688,4,20,10,129,26,83123
1,123,16685,3,17,7,116,23,83149
1,124,16679,6,13,7,99,24,83172
1,125,16676,3,16,3,92,14,83196
1,126,16668,8,13,6,84,11,83210
1,127,16668,0,16,5,80,10,83221
1,128,16666,2,10,6,70,15,83231
1,129,16661,5,10,2,67,9,83246
1,130,16658,3,12,3,62,7,83255
1,131,16657,1,12,3,55,10,83262
1,132,16655,2,6,7,49,9,83272
1,133,16654,1,6,2,46,10,83281
1,134,16651,3,7,0,46,2,83291
1,135,16650,1,8,2,44,2,83293
1,136,16649,1,6,3,41,5,83295
1,137,16646,3,7,0,42,2,83300
1,138,16645,1,10,0,34,8,83302
1,139,16644,1,10,1,27,7,83310
1,140,16643,1,8,3,24,4,83317
1,141,16641,2,6,3,24,3,83321
1,142,16641,0,7,1,25,2,83324
1,143,16641,0,6,1,24,2,83326
1,144,16640,1,5,1,24,1,83328
1,145,16640,0,5,1,22,3,83329
1,146,16639,1,3,2,23,0,83332
1,147,16639,0,2,2,23,2,83332
1,148,16639,0,2,0,24,1,83334
1,149,16636,3,1,1,22,2,83335
1,150,16636,0,3,1,19,4,83337
2,0,99900,100,0,0,0,0,0
2,1,99885,15,77,23,0,0,0
2,2,99856,29,70,22,18,5,0
2,3,99814,42,76,23,33,7,5
2,4,99784,30,86,32,48,8,12
2,5,99747,37,80,36,71,9,20
2,6,99713,34,93,24,89,18,29
2,7,99653,60,91,36,93,20,47
2,8,99599,54,113,38,109,20,67
2,9,99532,67,135,32,125,22,87
2,10,99452,80,147,55,136,21,109
2,11,99355,97,175,52,173,18,130
2,12,99254,101,207,65,191,34,148
2,13,99144,110,246,62,224,32,182
2,14,99003,141,271,85,235,51,214
2,15,98846,157,311,101,273,47,265
2,16,98693,153,355,113,313,61,312
2,17,98488,205,379,129,369,57,373
2,18,98260,228,445,139,430,68,430
2,19,98014,246,478,195,492,77,498
2,20,97728,286,550,174,575,112,575
2,21,97397,331,643,193,645,104,687
2,22,97035,362,709,265,711,127,791
2,23,96602,433,801,270,845,131,918
2,24,96116,486,949,285,954,161,1049
2,25,95612,504,1089,346,1063,176,1210
2,26,95024,588,1165,428,1213,196,1386
2,27,94376,648,1310,443,1383,258,1582
2,28,93611,765,1456,502,1539,287,1840
2,29,92825,786,1687,534,1748,293,2127
2,30,91921,904,1900,573,1947,335,2420
2,31,90915,1006,2106,698,2157,363,2755
2,32,89827,1088,2326,786,2427,428,3118
2,33,88627,1200,2572,842,2780,433,3546
2,34,87280,1347,2848,924,3109,513,3979
2,35,85780,1500,3102,1093,3474,559,4492
2,36,84206,1574,3486,1116,3907,660,5051
2,37,82410,1796,3807,1253,4350,673,5711
2,38,80540,1870,4254,1349,4813,790,6384
2,39,78613,1927,4535,1589,5296,866,7174
2,40,76517,2096,4885,1577,5941,944,8040
2,41,74303,2214,5239,1742,6423,1095,8984
2,42,72077,2226,5572,1881,7021,1144,10079
2,43,69723,2354,5922,1876,7602,1300,11223
2,44,67340,2383,6258,2018,8087,1391,12523
2,45,64902,2438,6435,2206,8665,1440,13914
2,46,62412,2490,6665,2208,9290,1581,15354
2,47,59965,2447,6788,2367,9913,1585,16935
2,48,57470,2495,6948,2287,10473,1807,18520
2,49,54970,2500,7042,2401,11011,1749,20327
2,50,52525,2445,7148,2394,11474,1938,22076
2,51,50111,2414,7095,2498,11919,1949,24014
2,52,47808,2303,7157,2352,12360,2057,25963
2,53,45551,2257,7126,2334,12596,2116,28020
2,54,43506,2045,7064,2319,12863,2067,30136
2,55,41467,2039,6834,2275,12992,2190,32203
2,56,39531,1936,6690,2183,13111,2156,34393
2,57,37698,1833,6483,2143,13193,2101,36549
2,58,36044,1654,6213,2103,13151,2185,38650
2,59,34440,1604,5891,1976,13142,2112,40835
2,60,33031,1409,5636,1859,12901,2217,42947
2,61,31700,1331,5296,1749,12684,2076,45164
2,62,30458,1242,4978,1649,12366,2067,47240
2,63,29290,1168,4639,1581,12031,1984,49307
2,64,28189,1101,4380,1427,11589,2023,51291
2,65,27175,1014,4111,1370,11178,1838,53314
2,66,26297,878,3845,1280,10774,1774,55152
