"sim_num","mean_gi","sd_gi","median_gi","n_gi"
1,2.74777905773474,2.50893362362446,2,51217
2,2.73647233801053,2.52118246892197,2,51099
3,2.74368704156479,2.56107340763767,2,51125
4,2.71251853586201,2.45776899618612,2,51252
5,2.72997716137344,2.53070383436479,2,51229
6,2.72428713430916,2.4655572499854,2,51307
7,2.74942927942869,2.53803138924803,2,51251
8,2.74829241637719,2.51673997962156,2,51242
9,2.7361184455006,2.4992711739483,2,51129
10,2.73985861457867,2.53590340808669,2,51349
11,2.72208243119356,2.47208986665407,2,51267
12,2.76744095027495,2.55365234104508,2,51101
13,2.74936336924584,2.50411756863324,2,51050
14,2.73990105566593,2.54918175636641,2,51342
15,2.73350815052543,2.49399636855726,2,51101
16,2.75404435555033,2.56554204942476,2,50997
17,2.74029874029874,2.51998621125785,2,51282
18,2.74106847663315,2.53563266153463,2,51419
19,2.75063360237065,2.55829182932031,2,51294
20,2.73717248908297,2.50372783570937,2,51296
21,2.74102164164555,2.51157312856772,2,51290
22,2.74025796631998,2.5230296789907,2,51247
23,2.72436023043461,2.51573371019117,2,51034
24,2.75554862113352,2.5644199369826,2,51274
25,2.73698363211224,2.54557937948379,2,51320
26,2.75278540604159,2.52011019263976,2,50980
27,2.74386136675152,2.51222490498404,2,51070
28,2.74590691774807,2.55176848521851,2,51245
29,2.72626310026592,2.49222902441033,2,51144
30,2.74424972617744,2.53019711100364,2,51128
31,2.71467348851742,2.49239707206053,2,51208
32,2.74556432702829,2.52668413985479,2,51176
33,2.75049226990038,2.51772473623035,2,51293
34,2.74935541839206,2.53195122468351,2,51196
35,2.74870835039286,2.51699662702138,2,51291
36,2.72821904966506,2.49249448045742,2,51203
37,2.74639561425756,2.52732220168214,2,51257
38,2.7256371228974,2.50094121397531,2,51246
39,2.72594769321187,2.48615507431237,2,51045
40,2.75313031078468,2.56645561471959,2,51193
41,2.73834880312653,2.5141584867054,2,51175
42,2.72060800935399,2.50821372380955,2,51315
43,2.74673323711823,2.52251027692453,2,51274
44,2.74528560250391,2.53512411488381,2,51120
45,2.72106929300035,2.48850382019651,2,51174
46,2.72738134879439,2.45785479158881,2,51053
47,2.75567493651104,2.54886115062229,2,51190
48,2.73858702030278,2.53278634327139,2,51126
49,2.74334008412525,2.50076120252574,2,51352
50,2.75170101183397,2.54529912023211,2,51293
51,2.74645240844767,2.52838860988497,2,51091
52,2.71741507223741,2.43691112107405,2,51220
53,2.75411721140541,2.54557714912023,2,51309
54,2.7349604608025,2.49087197289587,2,51215
55,2.75625499717233,2.56234874547644,2,51279
56,2.72814336075206,2.51524020770696,2,51060
57,2.73607748184019,2.50568011165503,2,51212
58,2.73831044332277,2.52018494480168,2,51114
59,2.73686778972847,2.52585976511146,2,51229
60,2.73325286662643,2.54362333649623,2,51367
61,2.73857190198639,2.5430558356639,2,51299
62,2.72969701702327,2.48416646132832,2,51224
63,2.74539709783117,2.50706872058955,2,51272
64,2.73959492978653,2.53342892020428,2,51201
65,2.73849959101001,2.48932606534117,2,51346
66,2.72733848108689,2.5184734716808,2,51155
67,2.74416653660059,2.54452595703093,2,51256
68,2.73410720916144,2.52413893505334,2,51171
69,2.75522690516553,2.57070385768232,2,51321
70,2.74289950062422,2.51195536103596,2,51264
71,2.73856579307112,2.52720837199657,2,51206
72,2.72319928088482,2.45798779103623,2,51174
73,2.73713873395998,2.48403798324554,2,51278
74,2.7468920838116,2.52499206767791,2,51401
75,2.74797653958944,2.51651242167763,2,51150
76,2.71839685137557,2.5116178415521,2,51324
77,2.73642699568553,2.51445588564565,2,51223
78,2.7220268104897,2.49163622099396,2,51174
79,2.72478228609365,2.49862714466921,2,51214
80,2.75203816301394,2.56308571529221,2,51149
81,2.74074798529067,2.51669259917354,2,51124
82,2.72888454011742,2.5003569929217,2,51100
83,2.72143651366483,2.47864002655492,2,51263
84,2.74115897215101,2.51937291270881,2,51097
85,2.73355173355173,2.52407626608267,2,51282
86,2.72665571333568,2.51862116814599,2,51126
87,2.75239454239806,2.57332822114786,2,51158
88,2.75011232443203,2.52599471181565,2,51191
89,2.75640625609423,2.5511223678649,2,51278
90,2.73811519345093,2.53477035072641,2,51305
91,2.75469270802877,2.53649748569992,2,51303
92,2.73331112069303,2.51242249638129,2,51022
93,2.72523174404506,2.50293280734769,2,51134
94,2.7234316982607,2.51395295417379,2,51170
95,2.74960448446259,2.52359438965883,2,51199
96,2.73432253026162,2.50017145780306,2,51220
97,2.72830151737641,2.52661999408742,2,51075
98,2.72401174168297,2.5003521840152,2,51100
99,2.74036333993246,2.49539021202829,2,51522
100,2.7483859642279,2.50691553042422,2,51269
