"source_exposure_date","mean_rt","ci_lower","ci_upper","n"
0,4.6031,4.01,5.19,100
1,4.51069231331807,3.81382850241546,5.05810169491525,100
2,4.4183266031583,3.79244536284674,4.96929336769293,100
3,4.26563657454197,3.81178832116788,4.76563406547866,100
4,4.13842315141115,3.87246901378352,4.5064021646457,100
5,3.97814495770483,3.73957936721434,4.24458279392727,100
6,3.76540337246089,3.58413047157774,3.96024539328523,100
7,3.54263270094056,3.35854389704611,3.69642748599704,100
8,3.2984156706416,3.1822604030738,3.48867162348052,100
9,3.03548976621558,2.91282773703999,3.18979675879319,100
10,2.7295660588942,2.57870134717099,2.87378708259935,100
11,2.42241956156121,2.28815202403452,2.54398963908934,100
12,2.10169592173987,1.9707395620612,2.22819212574959,100
13,1.78849917418928,1.65222746016777,1.92162617363736,100
14,1.48228223567674,1.3729761522003,1.59428145141423,100
15,1.19943632404613,1.08803932338495,1.30373385226112,100
16,0.951091936774631,0.872417093237805,1.03585140874726,100
17,0.742053621999409,0.673609980706844,0.816447757637006,100
18,0.571411383682796,0.510843063025252,0.62949026379715,100
19,0.440556604451184,0.394029397764107,0.48666370050532,100
20,0.339939729462175,0.302748712779918,0.374977751307539,100
21,0.267005230977072,0.236943850959211,0.295506839426003,100
22,0.212297796289379,0.191096058810943,0.235111120792836,100
23,0.172400779351591,0.155186965477344,0.199314205704233,100
24,0.141928409431674,0.122513130052306,0.160348072676169,100
25,0.122403034153062,0.103515413349669,0.139411555284305,100
26,0.103232223912916,0.0865188509655768,0.120672815081662,100
27,0.092612916970936,0.0756431218661435,0.11983866806931,100
28,0.0797615591294519,0.0529484096292357,0.101671338832301,100
29,0.0750321037693261,0.0530615583987795,0.0989038715090495,100
30,0.0658799947800469,0.040220543189708,0.100859145894428,100
31,0.0626090684426626,0.0360802565707134,0.0998380393191714,100
32,0.0586214903974959,0.0298766329863237,0.0876996966632962,100
33,0.0571487658616899,0.019789668700959,0.102033707865169,100
34,0.0543354207785946,0.0162539724576271,0.0990162271805273,100
35,0.052014715686284,0.013961038961039,0.0927447723275357,100
36,0.0509314966019902,0.0111733416770964,0.114518018018018,100
37,0.0532486683609097,0.0126689189189189,0.102615429573349,100
38,0.0482650326567065,0,0.118262987012987,100
39,0.0460123227410462,0,0.124311505507956,100
40,0.0484976005352953,0,0.137445003142678,100
41,0.0472443021039207,0,0.134375,100
42,0.0476397322888668,0,0.157894736842105,100
43,0.0427172767304885,0,0.139772727272727,100
44,0.049305555544474,0,0.133333333333333,100
45,0.036412751412674,0,0.166666666666667,100
46,0.048042561196973,0,0.184801136363636,100
47,0.0360266847016073,0,0.142857142857143,100
48,0.0329451659451659,0,0.2,100
49,0.037469696969697,0,0.26875,100
50,0.0408568189180434,0,0.313095238095238,98
51,0.0474291015107342,0,0.333333333333333,98
52,0.0255571588904922,0,0.295833333333333,99
53,0.0487972508591065,0,0.433333333333332,97
54,0.0384020618556701,0,0.373333333333333,97
55,0.0416666666666667,0,0.5,94
56,0.0425925925925926,0,0.5,90
57,0.0421810699588477,0,0.5,81
58,0.0384615384615385,0,0.537500000000001,78
59,0.0990990990990991,0,1,74
60,0.0214285714285714,0,0.137499999999996,70
61,0.0448717948717949,0,0.5,52
62,0.0102040816326531,0,0,49
63,0.092948717948718,0,1,52
64,0.0434782608695652,0,0.5,46
65,0.015625,0,0.112499999999999,32
66,0,0,0,27
67,0,0,0,17
68,0,0,0,22
69,0.0454545454545455,0,0.474999999999998,22
70,0.0833333333333333,0,0.725,12
71,0.0769230769230769,0,0.699999999999999,13
72,0,0,0,12
73,0,0,0,5
74,0,0,0,6
75,0.111111111111111,0,0.800000000000001,9
76,0,0,0,4
77,0,0,0,6
78,0,0,0,4
79,0,0,0,6
80,0,0,0,3
81,0,0,0,2
82,0,0,0,2
83,0,0,0,1
85,0,0,0,2
86,0,0,0,1
91,0,0,0,1
94,0,0,0,2
