"id","date","susceptible_to_susceptible","susceptible_to_exposed","exposed_to_exposed","exposed_to_infected","infected_to_infected","infected_to_removed","removed_to_removed"
1,0,99900,100,0,0,0,0,0
1,1,99744,156,74,26,0,0,0
1,2,99392,352,171,59,23,3,0
1,3,98558,834,398,125,72,10,3
1,4,96697,1861,951,281,169,28,13
1,5,92754,3943,2109,703,392,58,41
1,6,84612,8142,4510,1542,965,130,99
1,7,70063,14549,9487,3165,2133,374,229
1,8,49920,20143,18007,6029,4527,771,603
1,9,29874,20046,28676,9474,9094,1462,1374
1,10,15549,14325,36430,12292,15901,2667,2836
1,11,7520,8029,37842,12913,23937,4256,5503
1,12,3614,3906,34448,11423,31492,5358,9759
1,13,1769,1845,28759,9595,36739,6176,15117
1,14,945,824,22926,7678,39731,6603,21293
1,15,536,409,17862,5888,40627,6782,27896
1,16,292,244,13659,4612,39692,6823,34678
1,17,178,114,10402,3501,38048,6256,41501
1,18,115,63,7866,2650,35610,5939,47757
1,19,72,43,6004,1925,32873,5387,53696
1,20,52,20,4547,1500,29878,4920,59083
1,21,38,14,3393,1174,26967,4411,64003
1,22,30,8,2521,886,24153,3988,68414
1,23,26,4,1906,623,21458,3581,72402
1,24,25,1,1433,477,18960,3121,75983
1,25,23,2,1051,383,16733,2704,79104
1,26,23,0,787,266,14681,2435,81808
1,27,22,1,598,189,12864,2083,84243
1,28,19,3,440,159,11213,1840,86326
1,29,18,1,334,109,9731,1641,88166
1,30,18,0,261,74,8478,1362,89807
1,31,16,2,204,57,7367,1185,91169
1,32,15,1,148,58,6383,1041,92354
1,33,15,0,119,30,5555,886,93395
1,34,15,0,85,34,4789,796,94281
1,35,15,0,69,16,4169,654,95077
1,36,15,0,52,17,3615,570,95731
1,37,15,0,40,12,3126,506,96301
1,38,15,0,31,9,2681,457,96807
1,39,15,0,24,7,2321,369,97264
1,40,15,0,18,6,1996,332,97633
1,41,15,0,15,3,1703,299,97965
1,42,15,0,12,3,1479,227,98264
1,43,15,0,8,4,1295,187,98491
1,44,15,0,7,1,1126,173,98678
1,45,15,0,6,1,940,187,98851
1,46,15,0,5,1,823,118,99038
1,47,15,0,5,0,704,120,99156
1,48,15,0,4,1,606,98,99276
1,49,15,0,3,1,539,68,99374
1,50,15,0,2,1,463,77,99442
1,51,15,0,1,1,402,62,99519
1,52,15,0,1,0,332,71,99581
1,53,15,0,0,1,282,50,99652
1,54,15,0,0,0,237,46,99702
1,55,15,0,0,0,200,37,99748
1,56,15,0,0,0,175,25,99785
1,57,15,0,0,0,158,17,99810
1,58,15,0,0,0,132,26,99827
1,59,15,0,0,0,116,16,99853
1,60,15,0,0,0,100,16,99869
1,61,15,0,0,0,89,11,99885
1,62,15,0,0,0,79,10,99896
1,63,15,0,0,0,68,11,99906
1,64,15,0,0,0,60,8,99917
1,65,15,0,0,0,53,7,99925
1,66,15,0,0,0,44,9,99932
1,67,15,0,0,0,37,7,99941
1,68,15,0,0,0,30,7,99948
1,69,15,0,0,0,23,7,99955
1,70,15,0,0,0,21,2,99962
1,71,15,0,0,0,15,6,99964
1,72,15,0,0,0,12,3,99970
1,73,15,0,0,0,9,3,99973
1,74,15,0,0,0,7,2,99976
1,75,15,0,0,0,5,2,99978
